Date,Description,Category,Amount
2023-01-05,Office rent payment,Rent,1200.00
2023-01-07,Google Ads campaign,Marketing,500.00
2023-01-10,Employee salary - John Doe,Payroll,3000.00
2023-01-12,Staples office supplies,Office Expenses,85.50
2023-01-15,Amazon Web Services,Technology,275.00
2023-01-18,Uber Eats team lunch,Meals & Entertainment,120.75
2023-01-20,QuickBooks subscription,Software,50.00
2023-01-22,FedEx shipping,Shipping,45.25
2023-01-25,LinkedIn Ads,Marketing,350.00
2023-01-28,Starbucks coffee,Meals & Entertainment,32.40
2023-01-30,Verizon internet bill,Utilities,89.99
